File#,Incident_Date,UCR,Inc_Address
15-001412,1/21/2015 8:31,LARCENY 50 TO 200 FROM AUTOS,121 STORMS AVE
15-001416,1/21/2015 10:04,"ROBBERY, STRONG ARM, STREET",165 VROOM ST 4K
15-001459,1/21/2015 10:30,LARCENY OVER 200 OTHER,205 SHEARWATER CT W 71
15-001429,1/21/2015 12:17,LARCENY 50 TO 200 FROM AUTOS,299 SIP AVE
15-001432,1/21/2015 13:47,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,366 SIP AVE
15-001454,1/21/2015 17:56,LARCENY 50 TO 200 FROM AUTOS,SUMMIT (SUMMIT AVE) & CLIFTON PL
15-001460,1/21/2015 19:00,LARCENY OVER 200 SHOPLIFTING,110 NEWARK AVE
15-001462,1/21/2015 20:21,SIMPLE ASSAULT,Randolph and Union
15-001465,1/21/2015 21:23,LARCENY 50 TO 200 PURSE SNATCHING,132 BOORAEM AVE
15-001471,1/22/2015 0:25,VANDALISM M.V.,9 BOSTWICK AVE
15-001473,1/22/2015 3:31,LARCENY OVER 200 FROM AUTOS,1568 KENNEDY BLVD
15-001480,1/22/2015 8:05,VANDALISM M.V.,265 BROADWAY
15-001491,1/22/2015 10:00,LARCENY 50 TO 200 FROM AUTOS,98 POPLAR ST
15-001492,1/22/2015 11:05,SIMPLE ASSAULT,ARMSTRONG AVE & OCEAN AVE
15-001494,1/22/2015 11:15,LARCENY OVER 200 FROM AUTOS,220 St. Pauls ave
